Reel URL,Views,Likes,Comments
https://www.instagram.com/kismet_design/reel/C023mOhrnPp/,2900000,91600,739
https://www.instagram.com/kismet_design/reel/C9xqjetSbQg/,401000,15200,5246
https://www.instagram.com/kismet_design/reel/C9nQN__v8ID/,117000,6317,28
https://www.instagram.com/kismet_design/reel/DBOtCxLv8G7/,114000,6321,52
https://www.instagram.com/kismet_design/reel/C9kwxFlSKxl/,63200,1340,14
https://www.instagram.com/kismet_design/reel/C83LYPyJutP/,53700,2163,27
https://www.instagram.com/kismet_design/reel/C56udMZCQh-/,53100,2185,22
https://www.instagram.com/kismet_design/reel/C6mx0cHveQs/,49900,1245,10
https://www.instagram.com/kismet_design/reel/C8FoudnBr8F/,46100,928,17
https://www.instagram.com/kismet_design/reel/C9sg0UISYSj/,43800,2638,31
https://www.instagram.com/kismet_design/reel/DAT4JFoSMem/,41300,1671,14
https://www.instagram.com/kismet_design/reel/C-CV2rCRb64/,33700,1298,16
https://www.instagram.com/kismet_design/reel/C9iVWICSdJz/,30500,563,9
https://www.instagram.com/kismet_design/reel/C-czhs8yecl/,26600,553,4
https://www.instagram.com/kismet_design/reel/C6UlKeYSrka/,23600,711,12
https://www.instagram.com/kismet_design/reel/C_x2z8pvVNf/,19800,921,9
https://www.instagram.com/kismet_design/reel/C91T8zFxrDD/,19100,818,23
https://www.instagram.com/kismet_design/reel/C-VySsFSqQt/,18400,869,29
https://www.instagram.com/kismet_design/reel/C93ag8EyZgk/,17600,508,9
https://www.instagram.com/kismet_design/reel/C96j7YoRu6W/,16900,565,10
https://www.instagram.com/kismet_design/reel/DBNL9i6Ty74/,15900,521,11
https://www.instagram.com/kismet_design/reel/C9wdbJJRwmj/,15800,446,7
https://www.instagram.com/kismet_design/reel/C_3dXMBSR2P/,13300,370,7
https://www.instagram.com/kismet_design/reel/C_jc7QRyUlC/,13100,597,3
https://www.instagram.com/kismet_design/reel/C9qaY50yq9l/,8324,182,5